filename,label,description
Downy Mildew_108.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the center. The surface appears slightly wrinkled and leathery. The leaf shows symptoms of chlorosis, with yellowing affecting approximately 60% of the area, particularly along the veins and margins. There are no distinct lesions or necrotic spots visible. The background is a plain white surface, providing a clear contrast to the leaf, with no other plant parts or objects visible. The image quality is good, with no significant blur or shadows, allowing for clear observation of the leaf's features."
Downy Mildew_109.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The surface appears slightly wrinkled and leathery. The leaf exhibits symptoms of chlorosis, with yellowing primarily along the veins and some scattered necrotic brown patches. These patches are irregularly shaped with diffuse borders, affecting approximately 30% of the leaf area. There is slight curling at the edges, indicating possible physiological stress. The background is a plain white surface, providing clear contrast to the leaf, with no other plant parts or objects visible. The image is well-focused with even lighting, though there is a slight shadow cast by the leaf."
Downy Mildew_11.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the center. The leaf surface appears slightly wrinkled and matte. There are irregular yellow patches scattered across the leaf, particularly along the veins, affecting approximately 30% of the leaf area. Some areas show signs of chlorosis, with a few small necrotic spots. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur or shadows, allowing for detailed observation of the leaf's texture and color variations."
Downy Mildew_110.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with some yellowing. The venation pattern is prominent, with veins radiating from the central stem. The leaf surface appears smooth with a slight gloss. There are scattered yellowish-brown spots across the leaf, particularly along the veins, affecting approximately 20% of the leaf area. Some areas show signs of chlorosis, with a transition from green to yellow. The background is a plain white surface, providing clear contrast to the leaf. The image is well-focused with no significant blurring or shadows, allowing for detailed observation of the leaf's condition."
Downy Mildew_111.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with some yellowish tones. The venation pattern is prominent, with veins radiating from the central stem. The leaf surface appears slightly wrinkled and leathery. There are small, irregular brown spots scattered across the leaf, particularly along the veins, affecting approximately 10-15% of the leaf area. Some areas show mild chlorosis, with slight yellowing around the spots. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with good lighting, though there are minor shadows along the edges of the leaf."
Downy Mildew_112.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with a prominent venation pattern. The surface appears slightly glossy and smooth. There are visible lesions in the form of light brown patches with irregular shapes and diffuse borders, primarily located near the center and edges of the leaf, affecting approximately 15% of the leaf area. Some areas show mild chlorosis around the lesions, but no significant necrosis, curling, or deformation is evident. The background is a plain white surface, providing a clear contrast to the leaf, with no other plant parts or objects visible. The image quality is good, with no noticeable blur or shadows."
Downy Mildew_113.jpg,Downy Mildew,"Close-up photo of a grape leaf with a roughly round shape and slightly lobed edges. The leaf appears medium-sized with a mix of green and yellow tones, indicating chlorosis. The venation pattern is pinnate, and the surface texture seems slightly wrinkled. There are brown necrotic patches with irregular shapes and diffuse borders, scattered across approximately 30% of the leaf area. Some curling is visible along the edges. The background is a plain white surface, providing clear contrast to the leaf. The image is well-focused with no significant blur, shadows, or reflections affecting the visibility of the leaf's details."
Downy Mildew_114.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The surface appears slightly wrinkled and leathery. There are dark brown spots scattered across the leaf, with irregular shapes and diffuse borders, affecting approximately 20% of the leaf area. Some areas show signs of chlorosis, particularly around the veins, and there is slight curling at the edges. The background is a plain white surface, providing clear contrast to the leaf. The image is well-lit with minimal shadows, allowing for clear observation of the leaf's features."
Downy Mildew_115.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with prominent venation. The surface appears slightly wrinkled and matte. There are small, irregularly shaped yellowish patches scattered across the leaf, affecting approximately 15% of the surface area. These patches have indistinct borders and are distributed mainly along the veins. Some areas show mild chlorosis, but no significant necrosis or deformation is visible. The background is a plain white surface, providing a clear contrast to the leaf, with no other plant parts or objects present. The image is well-focused with no noticeable blur or shadows."
Downy Mildew_116.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The leaf surface appears slightly wrinkled and leathery. There are irregular patches of discoloration, primarily yellowish-green, scattered across the leaf, affecting approximately 40% of the surface. Some areas show signs of chlorosis, with a few small necrotic spots near the edges. The background is a plain white surface, providing clear contrast to the leaf. The image is well-lit with minimal shadows, allowing for a detailed view of the leaf's texture and symptoms."
Downy Mildew_117.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The surface appears slightly wrinkled and leathery. There are brown lesions along the edges and some scattered across the leaf, with irregular shapes and diffuse borders, affecting approximately 20% of the leaf area. Some areas show signs of chlorosis, particularly near the lesions, and there is slight curling at the edges. The background is a plain white surface, providing clear contrast to the leaf. The image is well-focused with no significant blur or shadows."
Downy Mildew_118.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with some yellowish tones. The venation pattern is clearly visible, with a smooth surface texture. There are noticeable lesions in the form of irregular white patches and yellowish areas, primarily scattered across the leaf, affecting approximately 20% of the surface. Some areas show signs of chlorosis, particularly along the edges and near the veins. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blurring or shadows, allowing for detailed observation of the leaf's features."
Downy Mildew_119.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The leaf surface appears slightly wrinkled and leathery. There are noticeable brown lesions along the edges and scattered across the surface, affecting approximately 30% of the leaf area. These lesions are irregular in shape with diffuse borders. Physiological changes include areas of chlorosis, particularly around the lesions, and slight curling at the edges. The background is a plain white surface, providing clear contrast to the leaf. The image is well-focused with no significant blurring or shadows."
Downy Mildew_12.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with prominent venation. The leaf surface appears slightly wrinkled and matte. There are noticeable lesions in the form of irregularly shaped, light brown patches with diffuse borders, primarily scattered across the central and upper areas of the leaf, affecting approximately 20% of the surface. Some areas exhibit mild chlorosis around the lesions, but no significant necrosis or deformation is visible. The background is a plain white surface, providing clear contrast to the leaf, with no other plant parts or objects present. The image quality is good, with no significant blur or shadows affecting the visibility of the leaf's features."
Downy Mildew_120.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The leaf surface appears slightly wrinkled and leathery. There are scattered patches of yellowing (chlorosis) across the leaf, affecting approximately 30% of the area, with some areas showing darker green spots. The leaf edges are slightly curled, indicating possible physiological stress. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur, shadows, or reflections."
Downy Mildew_121.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The surface appears slightly wrinkled and leathery. There are brown necrotic patches along the edges, affecting approximately 15% of the leaf area, with some curling at the tips. The leaf shows signs of chlorosis, particularly around the veins. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blurring or shadows."
Downy Mildew_122.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the center. The surface appears slightly wrinkled and matte. The leaf exhibits scattered yellow patches and dark spots, particularly along the veins, affecting approximately 30% of the leaf area. There is noticeable chlorosis, with some areas showing signs of necrosis. The leaf edges are slightly curled, indicating possible physiological stress. The background is a plain white surface, providing clear contrast to the leaf. The image is well-focused, with no significant blur or shadows, allowing for detailed observation of the symptoms."
Downy Mildew_123.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The leaf surface appears smooth with a slight gloss. There are irregular yellow patches scattered across the leaf, affecting approximately 30% of the area, with some areas showing mild chlorosis. The leaf edges are slightly curled, indicating possible physiological stress. The background is a plain white surface, providing clear contrast to the leaf. The image is well-lit with no significant shadows or reflections, allowing for clear observation of the leaf's features."
Downy Mildew_124.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size. The leaf exhibits a mix of green and yellow tones, with a prominent venation pattern. The surface appears slightly wrinkled and leathery. There are irregular patches of discoloration, primarily yellowish-brown, scattered across the leaf, affecting approximately 40% of the area. Some areas show signs of chlorosis, particularly around the lesions, with minor necrosis visible at the edges. The leaf is placed on a plain white background, with no other plant parts or objects visible. The image is clear, with no significant blur or shadows, allowing for detailed observation of the symptoms."
Downy Mildew_125.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with some yellowish tones. The venation pattern is clearly visible, with prominent veins radiating from the base. The surface texture appears slightly wrinkled and leathery. The leaf shows symptoms of chlorosis, with yellow patches scattered across approximately 30% of the surface, particularly along the veins. There are no visible necrotic spots or perforations. The background is a plain, light-colored surface, possibly a lab setting, with no other plant parts or objects visible. The image is well-lit with minimal shadows, providing a clear view of the leaf's details."
Downy Mildew_126.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with some yellowish tones. The venation pattern is prominent, with veins radiating from the central stem. The leaf surface appears smooth with a slight gloss. There are irregular yellow patches scattered across the leaf, affecting approximately 30% of the area, with no distinct border. Some areas show mild chlorosis, but no necrosis, curling, or perforations are visible. The background is a plain white surface, providing a clear contrast to the leaf, with no other plant parts or objects present. The image quality is good, with no noticeable blur or shadows, allowing for clear observation of the leaf's features."
Downy Mildew_127.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with some yellowish tones. The venation pattern is prominent, with veins radiating from the base. The surface appears smooth with a slight gloss. There are subtle yellow patches scattered across the leaf, affecting approximately 10-15% of the area, with irregular shapes and diffuse borders. No significant necrosis, curling, or deformation is visible. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no noticeable blur, shadows, or reflections."
Downy Mildew_128.jpg,Downy Mildew,"Close-up photo of a grape leaf with a roughly round and slightly lobed shape. The leaf appears medium-sized with a vibrant green color, showing a prominent venation pattern. The surface texture is somewhat wrinkled, suggesting a leathery appearance. There are no distinct lesions or spots visible, but the leaf exhibits areas of chlorosis, with yellowing along the veins and margins, affecting approximately 30% of the leaf area. The leaf edges are slightly curled, indicating possible physiological stress. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur, shadows, or reflections, allowing for a detailed observation of the leaf's features."
Downy Mildew_129.jpg,Downy Mildew,"Close-up photo of a grape leaf with a broadly lobed shape and medium size. The leaf exhibits a mix of green and yellow tones, with a prominent venation pattern that is slightly raised. The surface appears smooth with a slight gloss. There are irregular patches of yellowing (chlorosis) distributed across the leaf, affecting approximately 30% of the surface area. The yellowing is more pronounced along the veins and edges, with some areas showing mild necrosis. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur, shadows, or reflections."
Downy Mildew_13.JPG,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a bright green color with prominent venation. The surface appears smooth with a slight gloss. There is a noticeable lesion in the form of a pale, irregular patch near the center, with indistinct borders. Additionally, there are small perforations along the leaf margin, affecting approximately 10-15% of the leaf area. Some mild chlorosis is visible around the lesion. The background is a plain white surface, providing clear contrast to the leaf. The image is well-focused with no significant blur or shadows, allowing for clear observation of the leaf's features."
Downy Mildew_130.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of bright green and yellow tones. The venation pattern is prominent, with veins appearing slightly darker. The leaf surface appears smooth but shows signs of wrinkling. There are irregular patches of yellowing (chlorosis) across the leaf, particularly along the veins, affecting approximately 40% of the leaf area. Some areas near the edges show signs of necrosis with brownish discoloration. The leaf edges are slightly curled, indicating possible physiological stress. The background is a plain white surface, providing a clear contrast to the leaf, with no other plant parts or objects visible. The image is well-focused with good lighting, though there are minor shadows present."
Downy Mildew_131.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with a prominent venation pattern. The surface appears smooth with a slight gloss. There is a noticeable pale, irregularly shaped patch near the center of the leaf, covering approximately 10% of the surface area. The patch has a diffuse border and is lighter than the surrounding healthy tissue. No significant chlorosis or necrosis is visible, and the leaf edges are intact without curling or deformation. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur, shadows, or reflections affecting the visibility of the leaf's features."
Downy Mildew_132.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The leaf surface appears slightly wrinkled and leathery. There are scattered dark brown spots across the leaf, with irregular shapes and diffuse borders, affecting approximately 20% of the leaf area. Some areas show signs of chlorosis, particularly around the spots, indicating possible physiological stress. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur, though there are minor shadows and reflections on the surface."
Downy Mildew_133.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The surface appears slightly wrinkled and leathery. There are dark brown lesions scattered across the leaf, primarily along the veins, affecting approximately 30% of the leaf area. Some areas show signs of chlorosis, with yellowing around the lesions. The leaf edges are slightly curled, indicating possible physiological stress. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blurring or shadows."
Downy Mildew_134.jpg,Downy Mildew,"Close-up photo of a grape leaf with a roughly lobed shape and medium size. The leaf displays a mix of green and yellow tones, with a prominent venation pattern that is slightly raised. The surface appears smooth but shows signs of slight wrinkling. There are scattered brown spots with irregular shapes and diffuse borders, affecting approximately 10-15% of the leaf area. The leaf exhibits chlorosis, particularly around the veins, and some minor necrosis is visible. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-lit with no significant shadows or reflections, allowing for clear observation of the leaf's features."
Downy Mildew_135.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The surface appears slightly wrinkled and leathery. There are scattered yellowish-brown spots across the leaf, with irregular shapes and diffuse borders, affecting approximately 30% of the leaf area. Some areas show signs of chlorosis, particularly around the lesions, and slight curling at the edges is visible. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur, shadows, or reflections."
Downy Mildew_136.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The leaf has a prominent venation pattern with a slightly wrinkled texture. There are areas of chlorosis, particularly around the veins, affecting approximately 30% of the leaf surface. The yellowing is unevenly distributed, with some sections appearing more vibrant than others. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur, shadows, or reflections, allowing for a detailed observation of the leaf's condition."
Downy Mildew_137.jpg,Downy Mildew,"Close-up photo of a grape leaf with a broad, lobed shape and a medium size. The leaf displays a vibrant green color with some areas showing a yellowish tint, particularly along the veins. The venation pattern is prominent, with a smooth surface texture. There are visible lesions in the form of irregular yellow patches, primarily along the central vein and extending outward, affecting approximately 20% of the leaf area. Some areas exhibit mild chlorosis, but no necrosis or perforations are evident. The background is a plain white surface, providing a clear contrast to the leaf, with no other plant parts or objects visible. The image quality is good, with adequate lighting and no significant blurring or shadows."
Downy Mildew_138.jpg,Downy Mildew,"Close-up photo of a grape leaf with a broadly lobed shape and medium size. The leaf exhibits a mix of bright green and yellow tones, with a prominent venation pattern that is slightly raised. The surface appears glossy and somewhat wrinkled. There are visible symptoms of chlorosis, with yellowing occurring primarily along the veins and edges, affecting approximately 30% of the leaf area. No distinct lesions or necrosis are observed. The background is a plain white surface, providing a clear contrast to the leaf, with no other plant parts or objects visible. The image is well-lit with no significant shadows or reflections, allowing for clear observation of the leaf's features."
Downy Mildew_139.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and brown tones. The venation pattern is prominent, with veins radiating from the central stem. The surface appears slightly wrinkled and leathery. The leaf exhibits scattered brown patches and spots, particularly along the veins and edges, affecting approximately 30% of the leaf area. There is noticeable chlorosis, with some areas showing yellowing, and slight necrosis at the tips. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blurring or shadows, allowing for detailed observation of the leaf's condition."
Downy Mildew_14.jpg,Downy Mildew,"Close-up photo of a grape leaf with a broadly lobed shape and medium size. The leaf exhibits a vibrant green color with a prominent venation pattern and a smooth surface texture. There are scattered yellowish spots across the leaf, each with irregular shapes and diffuse borders, affecting approximately 20% of the leaf area. Mild chlorosis is visible around the lesions, but no necrosis or deformation is apparent. The background is a plain white surface, providing a clear contrast to the leaf, with no other plant parts or objects visible. The image is well-focused with good lighting, showing no significant blur or shadows."
Downy Mildew_140.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and brown tones. The venation pattern is prominent, with veins radiating from the central stem. The surface appears slightly wrinkled and leathery. The leaf exhibits irregular brown patches with diffuse borders, scattered across approximately 40% of the surface. There is noticeable chlorosis around the lesions, and some areas show signs of necrosis. The leaf edges are slightly curled. The background is a plain white surface, providing clear contrast to the leaf. The image is well-focused with no significant blur or shadows."
Downy Mildew_141.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size. The leaf displays a mix of green and yellow tones, with a prominent venation pattern that is slightly raised. The surface appears smooth with a slight gloss. There are small, scattered brown spots with irregular shapes and diffuse borders, affecting approximately 10% of the leaf area. Some areas show mild chlorosis, particularly around the veins, but no significant necrosis or deformation is visible. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no noticeable blur or shadows."
Downy Mildew_142.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of bright green and yellow tones. The venation pattern is prominent, with veins radiating from the base. The surface appears slightly wrinkled and glossy. The leaf shows signs of chlorosis, with yellowing affecting approximately 30% of the area, particularly along the veins. There are no distinct lesions or necrosis visible, but the leaf edges show slight curling. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-lit with minimal shadows, allowing for clear observation of the leaf's features."
Downy Mildew_143.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with some yellowish tones. The venation pattern is prominent, with veins radiating from the central stem. The surface appears slightly wrinkled and matte. There are no distinct lesions or spots visible, but the leaf shows signs of chlorosis, particularly towards the edges, indicating some yellowing. The leaf edges are slightly curled, suggesting mild physiological stress. The background is a plain, light-colored surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur, shadows, or reflections affecting the visibility of the leaf's details."
Downy Mildew_144.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with prominent yellow patches. The venation pattern is clearly visible, with veins radiating from the base. The leaf surface appears slightly wrinkled and leathery. Yellow patches are irregularly shaped with diffuse borders, scattered across the leaf, affecting approximately 30% of the area. There is noticeable chlorosis, particularly around the yellow patches, but no significant necrosis or perforations. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur, shadows, or reflections."
Downy Mildew_145.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a rich green color with some lighter green areas. The venation pattern is prominent, with veins radiating from the central stem. The leaf surface appears smooth with a slightly matte texture. There are small yellowish patches near the center and edges, covering approximately 10% of the leaf area, with irregular shapes and diffuse borders. No significant physiological changes like curling or necrosis are visible. The background is a plain white surface, providing a clear contrast to the leaf. The image quality is good, with no noticeable blur or shadows, allowing for clear observation of the leaf's features."
Downy Mildew_146.JPG,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a vibrant green color with a slightly glossy surface texture. The venation pattern is prominent, with veins radiating from the central stem. The leaf exhibits several perforations along the edges, with irregular shapes and sharp borders, affecting approximately 15% of the leaf area. There is mild chlorosis near the center, indicating some yellowing. The background is a plain white surface, providing a clear contrast to the leaf, with no other plant parts or objects visible. The image is well-focused with even lighting, allowing for clear observation of the leaf's features."
Downy Mildew_147.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The leaf surface appears slightly wrinkled and leathery. There are irregular yellow patches scattered across the leaf, with some areas showing more intense discoloration, affecting approximately 40% of the leaf area. The yellowing suggests chlorosis, particularly around the veins, but no necrosis or perforations are visible. The background is a plain white surface, providing a clear contrast to the leaf, and no other plant parts or objects are visible. The image quality is good, with no significant blur or shadows, allowing for clear observation of the leaf's features."
Downy Mildew_148.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The surface appears slightly wrinkled and leathery. There are dark green patches scattered across the leaf, with irregular shapes and diffuse borders, affecting approximately 30% of the leaf area. Some areas show signs of chlorosis, particularly around the edges, and there is slight curling at the margins. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur, though there are minor shadows present."
Downy Mildew_149.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins radiating from the central stem. The surface texture appears slightly wrinkled and leathery. The leaf shows signs of chlorosis, with yellowing around the edges and some areas near the veins. There are no distinct lesions or spots, but the discoloration affects approximately 30% of the leaf area. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur, shadows, or reflections."
Downy Mildew_15.jpg,Downy Mildew,"Close-up photo of a grape leaf with a broad, lobed shape and a medium size. The leaf exhibits a vibrant green color with a prominent venation pattern and a smooth surface texture. There are numerous small, circular lesions scattered across the leaf, characterized by a pale yellow color with indistinct borders. These lesions cover approximately 20% of the leaf area. The leaf shows signs of mild chlorosis around the lesions but no significant necrosis, curling, or deformation. The background is a plain white surface, providing a clear contrast to the leaf, with no other plant parts or objects visible. The image is well-focused with no noticeable blur, shadows, or reflections."
Downy Mildew_150.jpg,Downy Mildew,"Close-up photo of a grape leaf with a lobed shape and medium size, displaying a mix of green and yellow tones. The venation pattern is prominent, with veins clearly visible against the leaf's surface, which appears slightly wrinkled. The leaf exhibits scattered brown lesions, primarily along the edges and near the veins, affecting approximately 20% of the leaf area. There is noticeable chlorosis, with yellowing around the lesions and some necrotic spots. The leaf shows slight curling at the edges. The background is a plain white surface, providing a clear contrast to the leaf. The image is well-focused with no significant blur, though there are minor shadows cast by the leaf."
